"ISO3","Electricity",Year,Units
ZAF,229309,2023,GWh
EGY,215130,2023,GWh
DZA,95627,2023,GWh
MAR,43711,2023,GWh
NGA,40959,2023,GWh
LBY,33746,2023,GWh
GHA,24268,2023,GWh
TUN,21275,2023,GWh
ETH,20517,2023,GWh
MOZ,19913,2023,GWh
ZMB,19468,2023,GWh
AGO,15701,2023,GWh
SDN,14387,2023,GWh
CIV,13596,2023,GWh
COD,13376,2023,GWh
KEN,12703,2023,GWh
TZA,10576,2023,GWh
CMR,8148,2023,GWh
ZWE,8092,2023,GWh
SEN,7908,2023,GWh
UGA,6264,2023,GWh
COG,3482,2023,GWh
MUS,3265,2023,GWh
BWA,3227,2023,GWh
GAB,3136,2023,GWh
MDG,2637,2023,GWh
NAM,1890,2023,GWh
BFA,1795,2023,GWh
GNQ,1638,2023,GWh
RWA,1188,2023,GWh
NER,983,2023,GWh
BEN,783,2023,GWh
TGO,718,2023,GWh
SWZ,601,2023,GWh
SSD,573,2023,GWh
ERI,485,2023,GWh
TCD,347,2023,GWh